word,frequency,Lg10WF
the,0.03020758832137694,6.1766
to,0.023261871183091726,6.0632
a,0.020941034071902488,6.0175
you,0.04293507424442211,6.3293
and,0.01373262353890501,5.8343
it,0.019382955118669595,5.9839
s,0.021265292774111436,6.0242
of,0.011875386668747672,5.7712
for,0.007072669186935685,5.5461
i,0.04100054385034783,6.3093
in,0.010025108830407992,5.6976
on,0.007134857991502741,5.5499
is,0.009245113995377271,5.6624
that,0.014474725842304316,5.8571
what,0.010095926029916597,5.7007
be,0.005894762544157672,5.467
have,0.006320088110192447,5.4973
are,0.005343410118673617,5.4243
this,0.008184203560932558,5.6095
no,0.006125335783341606,5.4837
we,0.009243987678088865,5.6624
me,0.009479951150010177,5.6733
t,0.014749486922249514,5.8653
there,0.0044600957852402555,5.3459
can,0.005382589870063211,5.4275
here,0.004641794899230806,5.3632
with,0.005178344297495794,5.4107
but,0.004531234789688404,5.3527
he,0.00783387865862047,5.5905
now,0.0032850853869181465,5.2131
so,0.004353457673398558,5.3354
my,0.00693688761525645,5.5377
not,0.00556467112741947,5.442
do,0.006293599541106156,5.4954
your,0.006611381918906764,5.5168
at,0.0032999487525633775,5.215
one,0.003151355321728511,5.195
up,0.003764514408413912,5.2722
was,0.005800353020018681,5.46
go,0.003890722283141685,5.2866
out,0.003964858096089346,5.2948
how,0.0031349231570029982,5.1928
like,0.0041019470003354815,5.3095
if,0.0036325743832004947,5.2567
know,0.005868515328776039,5.4651
just,0.004871442949213549,5.3842
get,0.004701811520455933,5.3688
come,0.0032218708291062914,5.2046
they,0.004208605224985901,5.3207
don,0.006457921188361281,5.5066
see,0.0026225694676300436,5.1153
about,0.003725012852084773,5.2677
right,0.004111621261330551,5.3105
who,0.0022801891247629705,5.0545
good,0.002677356758587566,5.1242
when,0.0020864826639656504,5.0159
time,0.002009068463196376,4.9995
let,0.0024815384528744824,5.0913
did,0.0024016704894411775,5.077
from,0.0020915712045722046,5.017
want,0.0028302342176801244,5.1484
think,0.0027607042379297,5.1376
take,0.0019397396115331672,4.9843
why,0.0023066776938492615,5.0595
m,0.006903621029630994,5.5356
look,0.001997423146946594,4.997
an,0.0019121448379671904,4.9781
all,0.005294797459993612,5.4204
back,0.0020608991712718293,5.0106
some,0.001771717207473276,4.9449
re,0.006256531634632326,5.4929
would,0.0018134110599530647,4.955
been,0.0017814518068945098,4.9473
where,0.001877349678878896,4.9701
then,0.0015278896273418349,4.8806
him,0.003574247237907978,5.2497
got,0.003391643047524958,5.2269
as,0.0022741150565290602,5.0533
or,0.0017492109745138533,4.9394
going,0.0021779758308400152,5.0346
were,0.0017056466308229597,4.9284
could,0.0016715554200399199,4.9197
say,0.0016820140805751298,4.9224
something,0.001538790769668919,4.8837
had,0.0017190819870489603,4.9318
way,0.0014614167945170874,4.8613
make,0.00142348403726823,4.8499
by,0.001374992055440555,4.8348
too,0.0014068909700729452,4.8448
us,0.001739315472622847,4.9369
his,0.002179504404302854,5.0349
ll,0.004507220096074864,5.3504
more,0.0013320310960113083,4.821
over,0.0013573732350004707,4.8292
didn,0.001621554977558128,4.9065
them,0.0018246340072196937,4.9577
down,0.001528653914073254,4.8808
never,0.0013976390780610288,4.8419
well,0.0030676659246381102,5.1833
yes,0.0020481878761598052,5.0079
d,0.0020381314717990264,5.0058
should,0.001089289607550831,4.7337
will,0.0021783378613970034,5.0347
she,0.0038290161859839467,5.2796
tell,0.001768901414252258,4.9442
only,0.0011116148252317598,4.7425
our,0.0014365573629372423,4.8539
give,0.0011978987746472415,4.775
her,0.0029088551869726922,5.1603
need,0.0013282498879716555,4.8198
has,0.0011631237283676685,4.7622
little,0.0014836414481544085,4.8679
off,0.0012098860086452896,4.7793
thing,0.001116703365838314,4.7445
man,0.0018932790233863695,4.9737
any,0.0011276849594002844,4.7487
mean,0.0012760169237217706,4.8024
much,0.0009983193737032267,4.6958
said,0.0011369971898383653,4.7523
oh,0.003374547160111634,5.2247
sure,0.00112814755400088,4.7489
am,0.0011351266986272606,4.7516
two,0.0010938149895131815,4.7355
really,0.001538790769668919,4.8837
doing,0.0010557615554119947,4.7201
even,0.0008984793912094153,4.65
anything,0.0009306196595464641,4.6653
sorry,0.0011980395643082923,4.775
before,0.0008145888660317991,4.6075
because,0.0010986018379889123,4.7374
people,0.001131385716205051,4.7501
into,0.0008663391228723665,4.6342
very,0.001273221243309474,4.8014
first,0.0008622159970844473,4.6322
again,0.0008131206309951255,4.6067
nothing,0.0008755910148842829,4.6388
these,0.0009272809332986857,4.6637
put,0.0008497862812945247,4.6258
please,0.0011293140969067304,4.7493
thought,0.0008292913292072576,4.6152
better,0.0008144480763707482,4.6074
still,0.0008090377308246493,4.6045
thank,0.0011439562216560243,4.7549
yeah,0.0030624164815617836,5.1826
than,0.0007578305198195639,4.5761
help,0.0009448394153126053,4.6719
other,0.0007543308911020129,4.5741
maybe,0.000950310099284869,4.6744
last,0.0007417201600335965,4.5668
day,0.0008224730870506497,4.6117
those,0.0007724123061426931,4.5844
wait,0.000851636659696908,4.6268
find,0.0008523607208108841,4.6272
work,0.0008185712021586676,4.6096
does,0.0006838757221503971,4.5315
after,0.0007001670972148587,4.5417
talk,0.0008770190243035136,4.6395
life,0.0008171633055481585,4.6088
long,0.0006925443427093884,4.537
away,0.0007497250579047763,4.5714
keep,0.0007209637414329491,4.5545
around,0.0007556985620950789,4.5749
call,0.0008835757999467413,4.6428
doesn,0.0006523589508837166,4.511
won,0.0007789489689771993,4.588
hey,0.0017715160793860605,4.9449
told,0.000717604902376449,4.5524
ever,0.0007274802914587337,4.5584
always,0.0006721298418570075,4.524
things,0.0007107263217936764,4.5482
great,0.0008420026243192819,4.6219
home,0.0007942749292230261,4.5965
made,0.0005757492624633042,4.4568
stop,0.0007254891233952996,4.5572
believe,0.0006412365676606952,4.5036
night,0.0008883425356137504,4.6451
love,0.001143694755142644,4.7548
everything,0.000671747698491298,4.5237
another,0.0005223296424988475,4.4145
kind,0.0006058983627369188,4.4789
isn,0.0006010914014524665,4.4755
place,0.0006181872888657904,4.4877
feel,0.000643388638193902,4.505
hear,0.0005696550814206723,4.4522
wrong,0.0005365695110737102,4.4262
new,0.0007424241083388509,4.5672
big,0.0007004084509195173,4.5419
bad,0.000559216533694184,4.4441
every,0.0005632994338646601,4.4473
through,0.0005636815772303697,4.4476
their,0.0006720292778133998,4.5239
leave,0.0005751458782016574,4.4563
lot,0.0005845988983007894,4.4634
coming,0.0005405920728180217,4.4294
enough,0.0005142442933927814,4.4077
must,0.000717242871819461,4.5522
thanks,0.0006393660764495904,4.5023
fine,0.000613480891624946,4.4843
might,0.0005296507048734944,4.4205
getting,0.0004971685187881792,4.393
remember,0.000556440966090609,4.442
nice,0.0006662367889015913,4.5202
being,0.0004984155129289157,4.3941
try,0.0004890228312559484,4.3859
wanted,0.0005152097082114161,4.4085
name,0.0006583927935001838,4.515
done,0.0004975305493451672,4.3934
else,0.00046072410938471697,4.36
